Month;Total Fossil Fuels Production;Nuclear Electric Power Production;Total Renewable Energy Production;Total Primary Energy Production;Primary Energy Imports;Primary Energy Exports;Primary Energy Net Imports;Primary Energy Stock Change and Other;Total Fossil Fuels Consumption;Nuclear Electric Power Consumption;Total Renewable Energy Consumption;Total Primary Energy Consumption
01.04.1976;4,543052;0,121316;0,396931;5,061299;1,253496;0,203014;1,050483;-0,256462;5,334664;0,121316;0,396931;5,855319
01.05.1976;4,622377;0,131784;0,415728;5,169888;1,236985;0,193529;1,043456;-0,420022;5,243322;0,131784;0,415728;5,793322
01.06.1976;4,575462;0,174072;0,411555;5,16109;1,399163;0,222274;1,176889;-0,513435;5,236508;0,174072;0,411555;5,824544
01.07.1976;4,313708;0,195628;0,421425;4,930762;1,511982;0,1835;1,328482;-0,234563;5,40514;0,195628;0,421425;6,024682
01.08.1976;4,487455;0,202851;0,398129;5,088436;1,429463;0,164321;1,265142;-0,382852;5,367256;0,202851;0,398129;5,970726
01.09.1976;4,530889;0,191006;0,356984;5,07888;1,476783;0,197788;1,278995;-0,618356;5,18912;0,191006;0,356984;5,739519
01.10.1976;4,600868;0,191723;0,369186;5,161777;1,467472;0,200412;1,267061;-0,18424;5,681201;0,191723;0,369186;6,244598
01.11.1976;4,547319;0,178235;0,351386;5,07694;1,508602;0,214592;1,29401;0,358976;6,197897;0,178235;0,351386;6,729925
01.12.1976;4,698756;0,233256;0,360834;5,292846;1,628283;0,179839;1,448444;0,917189;7,0619;0,233256;0,360834;7,658479
01.01.1977;4,316486;0,238556;0,378521;4,933563;1,710226;0,100279;1,609947;1,308942;7,230327;0,238556;0,378521;7,852451
01.02.1977;4,252271;0,211078;0,304328;4,767677;1,738127;0,127518;1,610609;0,276578;6,134899;0,211078;0,304328;6,654863
01.03.1977;4,888075;0,222619;0,368966;5,479659;1,809005;0,136544;1,672461;-0,578259;5,97723;0,222619;0,368966;6,573861
01.04.1977;4,597192;0,213943;0,351301;5,162437;1,623215;0,195647;1,427568;-0,6107;5,409177;0,213943;0,351301;5,979305
01.05.1977;4,72232;0,221834;0,356923;5,301077;1,647862;0,210991;1,436871;-0,740491;5,413653;0,221834;0,356923;5,997456
01.06.1977;4,645165;0,23172;0,336485;5,213369;1,653446;0,208999;1,444448;-0,571927;5,512801;0,23172;0,336485;6,08589
01.07.1977;4,417123;0,235032;0,336903;4,989057;1,732038;0,195242;1,536797;-0,330069;5,618804;0,235032;0,336903;6,195785
01.08.1977;4,607554;0,244991;0,335881;5,188426;1,642039;0,165718;1,47632;-0,364124;5,714704;0,244991;0,335881;6,300623
01.09.1977;4,803085;0,211395;0,328075;5,342555;1,593901;0,192805;1,401096;-0,663427;5,535869;0,211395;0,328075;6,080223
01.10.1977;4,8703;0,205053;0,341368;5,416721;1,619758;0,186155;1,433603;-0,577906;5,72095;0,205053;0,341368;6,272418
01.11.1977;4,821366;0,209548;0,370168;5,401081;1,525978;0,171202;1,354776;-0,270563;5,900695;0,209548;0,370168;6,485295
01.12.1977;4,12168;0,255994;0,400048;4,777722;1,652535;0,16079;1,491745;1,17278;6,781158;0,255994;0,400048;7,442248
01.01.1978;3,91598;0,282638;0,438983;4,637601;1,609273;0,076735;1,532539;1,551345;6,994146;0,282638;0,438983;7,721485
